Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
30-Jul-18,11564.4,11602.1,11527.85,11594.75,601952703,20089.5
31-Jul-18,11585.2,11643.1,11541.45,11633.85,553326367,21332.65
01-Aug-18,11640.9,11670.2,11592,11629.65,581070772,20025.21
02-Aug-18,11613.1,11613.1,11524.65,11535.6,442211411,17235.28
03-Aug-18,11588.15,11655.9,11585.8,11648.85,457290767,17476.64
06-Aug-18,11689.8,11714.8,11659.1,11674.25,407974204,15471.58
07-Aug-18,11710.35,11715.9,11643.1,11675.5,537761961,17637.24
08-Aug-18,11698.85,11741.1,11663.1,11731.75,450989684,16614.55
09-Aug-18,11773.2,11775.35,11735.9,11756.15,534443264,20210.21
10-Aug-18,11761.15,11763.45,11695.7,11707.35,541009898,19625.25
13-Aug-18,11645.95,11681.25,11612.5,11624.65,426249079,16720.62
14-Aug-18,11651.15,11717.8,11642.6,11703.4,392877490,17702.67
16-Aug-18,11665,11718.8,11628.9,11647.75,470570618,20864.91
17-Aug-18,11701.9,11758.9,11697.45,11747.2,398342324,17215.44
20-Aug-18,11782.05,11847.55,11779.75,11838.15,432622960,18429.75
21-Aug-18,11864.7,11870.65,11828.4,11862.1,398103951,18005.78
23-Aug-18,11910.75,11910.75,11839.3,11881.4,432007236,20774.28
24-Aug-18,11865.2,11901.95,11824.15,11856.2,455729120,17745.2
27-Aug-18,11905.5,11997.75,11895.95,11989.35,403961101,16486.1
28-Aug-18,12028.5,12056.85,12001.45,12028.3,421365193,18180.68
29-Aug-18,12036.75,12047.1,11986.95,11998.6,514214498,20377.61
30-Aug-18,12002.25,12007.55,11954.65,11991.15,597547976,24704.31
31-Aug-18,11993.05,12049.1,11959.7,12003.1,636312047,26450.63
03-Sep-18,12075.8,12075.8,11888.5,11904.35,466166979,20836.08
04-Sep-18,11917.6,11923.1,11771.8,11798.95,477602670,21342.47
05-Sep-18,11789.1,11816.85,11657.15,11751.05,606042210,21349.12
06-Sep-18,11792.25,11838.45,11710.95,11815.4,499894777,21199.75
07-Sep-18,11838.2,11893.75,11767.2,11879.9,552913242,23388.32
10-Sep-18,11860.9,11867.25,11706.7,11717.95,493368544,21193.9
11-Sep-18,11757.15,11759.45,11541.8,11555.2,547313340,23796.06
12-Sep-18,11604.55,11648,11508.5,11635.2,533033916,21055.91
14-Sep-18,11711.2,11800.2,11707.3,11791.7,483721928,21335.08
17-Sep-18,11740.8,11740.8,11645.6,11656.5,385513868,15762.79
18-Sep-18,11659,11690.95,11535.5,11546.15,564873683,19421.55
19-Sep-18,11595,11602.2,11471.6,11499.85,532690349,20323.75
21-Sep-18,11539.6,11610.05,11073.95,11387.55,1129401189,42767.19
24-Sep-18,11412.35,11416.95,11163.7,11185.55,644807335,27761.83
25-Sep-18,11185.6,11304.7,11089.2,11287.6,727009003,28417.13
26-Sep-18,11370.35,11370.35,11218.15,11279.5,612154047,22277.65
27-Sep-18,11305.2,11313.85,11164.6,11186.7,704063791,28591.82
28-Sep-18,11221.55,11247.25,11039.35,11126.4,715947003,28536.89
01-Oct-18,11123.95,11224.1,11002.25,11197.05,616339911,25218.31
03-Oct-18,11172.1,11177.4,11029.35,11045.8,622050396,26425.83
04-Oct-18,10938.75,10938.75,10742.5,10794.3,653027369,28829.04
05-Oct-18,10711.3,10735.85,10454.95,10510.05,847949244,29706.09
08-Oct-18,10502.05,10587.4,10373.15,10523.8,678303671,26571.51
09-Oct-18,10566.7,10576.65,10433.2,10473.55,659327711,23075.37
10-Oct-18,10505.75,10678.85,10496.7,10657.8,601087367,24685.52
11-Oct-18,10360.8,10537.95,10329.05,10432.05,682772633,26409.36
12-Oct-18,10532.25,10692.1,10523.3,10671.3,521872348,22732.14
15-Oct-18,10722.4,10725.45,10607.35,10712.6,392646214,17809.2
16-Oct-18,10751.75,10813.65,10729.5,10796.1,411420766,19013.95
17-Oct-18,10900.6,10922.95,10632.9,10648.7,458930781,21315.58
19-Oct-18,10541.05,10586.75,10449.35,10504.05,570138805,25478.9
22-Oct-18,10606.1,10608.65,10424.35,10445.85,453438974,20921.4
23-Oct-18,10354.15,10423.65,10294.85,10341.55,452077911,21705.09
24-Oct-18,10468.15,10481.95,10313.5,10415.4,525590536,23530.54
25-Oct-18,10319.35,10351.5,10267.6,10307.7,776712468,29000.6
26-Oct-18,10308.8,10321.8,10186,10225.3,578224558,20550.28
29-Oct-18,10272.7,10473.75,10213,10452.8,552310007,21871.98
30-Oct-18,10444.05,10491.85,10387.15,10413.6,502232408,19114.82
31-Oct-18,10428.9,10615.1,10322.35,10604.6,607333586,27101
01-Nov-18,10660.5,10660.7,10567.45,10607.6,566850800,23536.42
02-Nov-18,10691.15,10841.7,10686.2,10782.3,656037238,26756.42
05-Nov-18,10786.65,10789.2,10708.85,10761,470065486,18340.01
06-Nov-18,10790.1,10836.4,10717.3,10758.45,438807073,17037.56
07-Nov-18,10842.95,10845.5,10812.8,10828.85,49597981,1961.87
09-Nov-18,10845.9,10855.4,10779.15,10823.3,441548166,18554.74
12-Nov-18,10847.3,10883.1,10696.4,10715.05,386537354,16566.14
13-Nov-18,10686.2,10820.35,10674.25,10807.3,385548439,16421.9
14-Nov-18,10857.95,10875.15,10759.1,10803.15,670239963,24562.65
15-Nov-18,10807.3,10867.1,10779.05,10844.6,518892413,18833.17
16-Nov-18,10871.6,10922.05,10855.05,10908.2,602278728,20921.91
19-Nov-18,10958.25,10999.35,10914.6,10988.15,482564210,17315.91
20-Nov-18,10963.95,10967.1,10860.1,10875,483561855,16467.42
21-Nov-18,10891.4,10897.6,10791.05,10836.3,492686031,18777.85
22-Nov-18,10847.75,10878.85,10746.75,10761.4,408064396,15103.09
26-Nov-18,10803.45,10866.7,10719.6,10856.85,508190142,19698.26
27-Nov-18,10848.55,10915.05,10825.3,10905.85,541395771,20766.1
28-Nov-18,10926.75,10972.85,10919.8,10940.25,609902090,21482.75
29-Nov-18,11017.75,11087.75,10990.65,11065.9,941637341,31505.11
30-Nov-18,11098.35,11130,11045.85,11092.25,802093420,26427.09
03-Dec-18,11146.8,11154.2,11065.55,11103.2,608638414,22323.06
04-Dec-18,11097.5,11112.65,11054.65,11086.4,487797881,19497.03
05-Dec-18,11036.1,11037.25,10953.75,10989.15,501908799,18928.67
06-Dec-18,10922.6,10924.35,10793.7,10805.85,507910485,20286.98
07-Dec-18,10849.1,10903.45,10804.25,10894.1,494143024,21785.48
10-Dec-18,10706.7,10752.1,10674.15,10686.25,538063639,19440.74
11-Dec-18,10546.4,10782.25,10532.65,10761.75,616413785,23775.05
12-Dec-18,10805.45,10974.55,10778.15,10960.45,529062342,21084.63
13-Dec-18,11031.75,11071.45,10979.4,11023.05,546794697,21729.69
14-Dec-18,11018.15,11055.3,10986.8,11040.3,534769907,18785.31
17-Dec-18,11087.2,11136.75,11077.4,11125.75,435539848,15814.44
18-Dec-18,11089.65,11160.25,11061.05,11150.9,430329852,16830.01
19-Dec-18,11177.95,11239.65,11176.35,11223.4,506408963,22377.95
20-Dec-18,11144.05,11212.1,11135.75,11201.35,476918002,18627.87
21-Dec-18,11198.65,11220,10991.5,11005.85,602699200,23604.77
24-Dec-18,11028.8,11030.6,10891.15,10904.7,377594512,14124.08
26-Dec-18,10875.1,10988.15,10766.5,10968.85,434838223,16686.94
27-Dec-18,11055.5,11068.75,11003.5,11015.8,686265362,23470.39
28-Dec-18,11056.6,11134.2,11053.35,11101.65,380419086,15782.29
31-Dec-18,11154.1,11167.4,11100.35,11110.15,307709495,13371.42
01-Jan-19,11130.55,11161,11051.5,11148.8,261689768,11055.54
02-Jan-19,11110.15,11139.45,10977.65,11032,479573539,18785.98
03-Jan-19,11035.7,11059.55,10904.85,10914.8,463008349,18406.36
04-Jan-19,10940.9,10981.45,10869.45,10966.15,463083403,17840.07
07-Jan-19,11044.05,11070.2,10983.55,11005.1,408861633,15628.94
08-Jan-19,11018.9,11047.45,10967.85,11031.3,411383722,16615.01
09-Jan-19,11089.45,11098.35,10973.1,11078,485649256,19477.34
10-Jan-19,11083.65,11087.65,11032.05,11054.45,394891069,15393.94
11-Jan-19,11067.15,11081.85,10970.75,11025.85,372755460,15876.42
14-Jan-19,11033.65,11034.45,10918.35,10965.05,413114985,15822.62
15-Jan-19,11005.05,11117.45,11005.05,11107.75,415959403,17766.77
16-Jan-19,11120.65,11151.25,11097.4,11111.65,382299958,15799.34
17-Jan-19,11141.45,11151.7,11066.7,11123.9,392333417,16047.72
18-Jan-19,11135.25,11146.45,11066.85,11109.5,455935490,19391.67
21-Jan-19,11122.1,11188.5,11090.65,11153.35,426708208,20047.15
22-Jan-19,11142.75,11142.75,11057.6,11124.35,460402016,21251.26
23-Jan-19,11133.25,11145.1,11015.75,11034.8,431966710,18429.71
24-Jan-19,11047.85,11064.25,11000.5,11049.05,521455279,19562.47
25-Jan-19,11062.55,11128.7,10941.85,10968.3,629065512,24720.16
28-Jan-19,10978.9,10985.35,10803.25,10836.65,583915207,24860.62
29-Jan-19,10826.4,10868,10763.15,10829.95,518523830,22257.29
30-Jan-19,10879.45,10886.9,10788.25,10829.5,567122863,24677.79
31-Jan-19,10869.25,11002.5,10853.9,10996.8,836962479,32388.83
01-Feb-19,11018.7,11157.65,10981.15,11066.7,706450230,27897.74
04-Feb-19,11051.05,11084.75,10975,11070.45,455398569,18430.04
05-Feb-19,11067,11104.55,11044.6,11079.65,443600813,16662.9
06-Feb-19,11111.75,11217.6,11108.7,11206,453221508,18730.8
07-Feb-19,11215.3,11272.2,11198.75,11229.05,477554001,17902.35
