Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
12-Nov-18,4839.9,4864.05,4770.35,4782.75,199224703,3706.36
13-Nov-18,4765.95,4813.25,4714.1,4808.1,251777006,4113.49
14-Nov-18,4844.85,4851.1,4783.7,4801.65,229679384,4356.59
15-Nov-18,4806.55,4841.25,4762.1,4833.65,181791196,3952.84
16-Nov-18,4839.45,4850.65,4777.5,4806.95,223488481,4250.75
19-Nov-18,4818.8,4849,4790.2,4840.7,192054253,3362.1
20-Nov-18,4823.45,4857.65,4776.75,4786.7,227525894,4084.96
21-Nov-18,4798.1,4841.25,4776.6,4835.6,206811973,3734.75
22-Nov-18,4846.45,4855.05,4772.7,4780.1,199739385,3276.31
26-Nov-18,4798.4,4810.6,4749.1,4792.1,193893436,3405.43
27-Nov-18,4788.75,4818.35,4779.3,4813.75,195492672,3587.77
28-Nov-18,4816.25,4822.8,4734.15,4740.9,220398822,3723.8
29-Nov-18,4762.4,4768.25,4731.95,4761.25,297432792,4757.57
30-Nov-18,4775.85,4796.65,4762.4,4780,241894378,6121.11
03-Dec-18,4801.3,4841.3,4779.35,4815.9,272031418,4568.55
04-Dec-18,4818.6,4826.95,4789.7,4795.5,208368888,3455.09
05-Dec-18,4763.8,4774.5,4681.4,4706.55,220028073,3909.91
06-Dec-18,4678.8,4678.8,4613.9,4620.95,229966576,4148.15
07-Dec-18,4638.6,4655.25,4579.3,4630.85,236140065,4309.54
10-Dec-18,4541.05,4582.1,4525.35,4552.65,203217997,3301
11-Dec-18,4486.55,4646.25,4485.75,4634.45,233951633,3622.21
12-Dec-18,4653.25,4759.65,4651.9,4753.5,255148478,4511.86
13-Dec-18,4781.25,4817.45,4742.75,4772.65,234358082,4152.66
14-Dec-18,4771.15,4804.5,4752.25,4792,217879683,3723.7
17-Dec-18,4807.05,4833.8,4798.85,4824.65,145753124,2997.04
18-Dec-18,4811.1,4852.2,4806.4,4846.95,217209602,3808.33
19-Dec-18,4874.8,4937.35,4872.35,4929.3,313699040,5173.68
20-Dec-18,4899.55,4960.45,4887,4945.1,267473514,4591.73
21-Dec-18,4958.65,4980.85,4837.35,4844.7,259178000,4379.11
24-Dec-18,4858.5,4861.8,4803,4815.9,225276818,4227.17
26-Dec-18,4802.85,4836.45,4720.25,4825.95,230451853,4579.61
27-Dec-18,4863.65,4869.05,4820.05,4853.9,328581435,5140.35
28-Dec-18,4875.35,4920.55,4873.85,4911.9,205006370,3696.66
31-Dec-18,4936.1,4954.4,4923.95,4930.95,175046230,3251.12
01-Jan-19,4939.6,4942,4902.55,4927.35,126018919,2246.59
02-Jan-19,4917.55,4938.15,4849.5,4860.05,200322003,3543.69
03-Jan-19,4863.75,4884.3,4798.5,4806,180126008,3096.13
04-Jan-19,4817.15,4853.4,4785.3,4847.7,234011742,4004.21
07-Jan-19,4879.8,4885.35,4838.05,4849.15,214413208,3481.54
08-Jan-19,4854.45,4865.7,4833.25,4862.5,185500695,3360.57
09-Jan-19,4880.4,4887,4827.35,4863.1,222018998,3432.17
10-Jan-19,4862.95,4891.2,4854.5,4880.65,161609192,2827.37
11-Jan-19,4882.65,4888.8,4851.35,4875.7,140240351,2747.24
14-Jan-19,4864.6,4865.8,4825.35,4859.1,170883294,2997.92
15-Jan-19,4871.75,4899.05,4870,4895.1,159291176,2929.61
16-Jan-19,4894.5,4923.95,4883.05,4890.15,182904618,3151.55
17-Jan-19,4902.6,4909.55,4849.15,4875.6,222179392,4275.85
18-Jan-19,4888.35,4888.95,4844.65,4853.3,156125418,2904.85
21-Jan-19,4860.55,4878.5,4817.8,4828.3,166884454,3262.03
22-Jan-19,4818.55,4820.45,4765.25,4815.95,187867097,4217.66
23-Jan-19,4821.1,4838.25,4789.1,4795.85,157851306,3226.13
24-Jan-19,4802.65,4813.7,4778.45,4791.1,139022884,2638.65
25-Jan-19,4806.3,4815.95,4691.4,4712.6,296979516,3960.64
28-Jan-19,4715.75,4717,4605.4,4614.1,367896646,3874.8
29-Jan-19,4594.65,4664.35,4586.4,4645.7,324088717,4413.81
